"identifiant";"Opérateur";"Millésime des données";"Énergie concernée";"Code géographique du territoire - Code de la zone";"Code géographique du territoire - Libellé de la zone";"Puissance totale installée sur le réseau (en MW)";"Puissance installée sur le réseau de la filière gaz naturel (en MWh)";"Puissance installée sur le réseau de la filière charbon (en MWh)";"Puissance installée sur le réseau de la filière fioul domestique (en MWh)";"Puissance installée sur le réseau de la filière fioul lourd (en MWh)";"Puissance installée sur le réseau de la filière gpl (en MWh)";"Puissance installée sur le réseau de la filière bois-énergie et résidus agricoles (en MWh)";"Puissance installée sur le réseau de la filière déchets urbains incinérés en interne (en MWh)";"Puissance installée sur le réseau de la filière chaleur issue d'unités de valorisation énergétique externes (en MWh)";"Puissance installée sur le réseau de la filière biogaz (en MWh)";"Puissance installée sur le réseau de la filière geothermie (en MWh)";"Puissance installée sur le réseau de la filière Pompes à chaleur (en MWh)";"Puissance installée sur le réseau de la filière solaire thermique (en MWh)";"Puissance installée sur le réseau de la filière Autres énergies renouvelables (en MWh)";"Puissance installée sur le réseau de la filière chaleur issue de procédés industriels (en MWh)";"Puissance installée sur le réseau de la filière autre chaleur recuperee (en MWh)";"Puissance installée sur le réseau de la filière chaudieres electriques (en MWh)";"Puissance installée sur le réseau de la filière autres (en MWh)";"Production totale thermique du réseau (en MW)";"Production thermique sur le réseau de la filière gaz naturel (en MWh)";"Production thermique sur le réseau de la filière charbon (en MWh)";"Production thermique sur le réseau de la filière fioul domestique (en MWh)";"Production thermique sur le réseau de la filière fioul lourd (en MWh)";"Production thermique sur le réseau de la filière gpl (en MWh)";"Production thermique sur le réseau de la filière bois-énergie et résidus agricoles (en MWh)";"Production thermique sur le réseau de la filière déchets urbains incinérés en interne (en MWh)";"Production thermique sur le réseau de la filière chaleur issue d'unités de valorisation énergétique externes (en MWh)";"Production thermique sur le réseau de la filière biogaz (en MWh)";"Production thermique sur le réseau de la filière geothermie (en MWh)";"Production thermique sur le réseau de la filière Pompes à chaleur (en MWh)";"Production thermique sur le réseau de la filière solaire thermique (en MWh)";"Production thermique sur le réseau de la filière Autres énergies renouvelables (en MWh)";"Production thermique sur le réseau de la filière chaleur issue de procédés industriels (en MWh)";"Production thermique sur le réseau de la filière autre chaleur recuperee (en MWh)";"Production thermique sur le réseau de la filière chaudieres electriques (en MWh)";"Production thermique sur le réseau de la filière autres (en MWh)";"Niveau de rejet de CO2 des réseaux (en kg/kWh)";"Pourcentage de chaleur produite par cogénération (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière gaz naturel (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière charbon (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière fioul domestique (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière fioul lourd (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière gpl (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière bois-énergie et résidus agricoles (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière déchets urbains incinérés en interne (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière biogaz (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière autres (en pourcent)";"Nombre de points de livraison";"Consommation totale (en MWh)";"Consommation dans le secteur résidentiel (en MWh)";"Consommation dans le secteur tertiaire (en MWh)";"Consommation dans le secteur industriel (en MWh)";"Consommation dans le secteur agricole (en MWh)";"Consommation non affectée dans l'un des quatres secteur (en MWh)"
"4304C";"Chaufferie de la Mairie";"2018";"C";"43087";"Dunières";0.57687;;;;;;0.57687;;;;;;;;;;;;576.87;;;;;;576.87;;;;;;;;;;;;;;;;;;;;;;;5;"secret";"secret";444;;;
"4305C";"Réseau d'allegre";"2018";"C";"43003";"Allègre";3.3;;;2;;;1.3;;;;;;;;;;;;3752.32;;;55.18;;;3697.14;;;;;;;;;;;;0.006693323;;;;;;;;;;;43;2501;600;1901;;;
"4306C";"Chaufferie de la Piscine";"2018";"C";"43087";"Dunières";1.443;;;;;;1.443;;;;;;;;;;;;1443.74;;;;;;1443.74;;;;;;;;;;;;;;;;;;;;;;;6;"secret";"secret";1371;;;
"4307C";"Réseaux de Chaleur YES";"2018";"C";"43268";"Yssingeaux";8.9;6;;;;;2.9;;;;;;;;;;;;14153;1530;;;;;12623;;;;;;;;;;;;0.030755035;;;;;;;;;;;44;12214;1221;10993;;;
"4308C";"Pradelles";"2018";"C";"43154";"Pradelles";0.6;;;;;;0.6;;;;;;;;;;;;1986.6;;;;;;1986.6;;;;;;;;;;;;;;;;;;;;;;;19;1628;;;;;1628
"4309C";"Réseau de Mazet Si Voy";"2018";"C";"43130";"Mazet-Saint-Voy";250;;;;;;250;;;;;;;;;;;;215;;;;;;215;;;;;;;;;;;;;;;;;;;;;;;7;250;;;;;250
"4310C";"Réseau de St Bonnet le Froid";"2018";"C";"43172";"Saint-Bonnet-le-Froid";;;;;;;;;;;;;;;;;;;688;;;;;;688;;;;;;;;;;;;;;;;;;;;;;;7;560;;;;;560
"4311C";"Fontannes";"2018";"C";"43062";"Chaspuzac";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33;311;311;;;;
"4401C";"Réseau de Nantes";"2018";"C";"44109";"Nantes";239;177;;3;;;39;;20;;;;;;;;;;293695.84;76245;;554;;;38522.84;;178374;;;;;;;;;;0.058086981;10.511;4.488;;;;;;;;;332;255108;94390;160718;;;
"4402C";"CHATEAUBRIANT";"2018";"C";"44036";"Châteaubriant";12.61;7.91;;;;;3.3;;;;;;1.4;;;;;;25128;12487;;;;;12065;;;;;;;;;;;576;0.112935072;15.166;3.52;;;;;;;;;32;"secret";"secret";15067;1937;;
"4403C";"NANTES CHANTRERIE";"2018";"C";"44109";"Nantes";10;7.5;;;;;2.5;;;;;;;;;;;;11882.95;3728.43;;;;;8154.52;;;;;;;;;;;;0.076668186;;;;;;;;;;;13;11077;;11077;;;
"4405C";"Zup de Bellevue Saint Herblain";"2018";"C";"44109";"Nantes";80;49;;17;;;14;;;;;;;;;;;;82391;38841;;;;;43550;;;;;;;;;;;;0.095885788;18.998;4.3;;;;;;;;;119;84707;61836;22871;;;
"4406C";"AFUL Rezé-Château";"2018";"C";"44143";"Rezé";17.8;12.8;;;;;5;;;;;;;;;;;;17584.28;7280.28;;;;;10304;;;;;;;;;;;;0.114514605;;;;;;;;;;;32;14481;8544;5937;;;
"4407C";"Réseau de Saint-Jean-de-Boiseau";"2018";"C";"44166";"Saint-Jean-de-Boiseau";1.4;0.9;;;;;0.5;;;;;;;;;;;;2408.46;620.46;;;;;1788;;;;;;;;;;;;0.13721068;;;;;;;;;;;119;1030;1030;;;;
"4408C";"Réseau ZAC de la Minais";"2018";"C";"44172";"Sainte-Luce-sur-Loire";4.1;3.3;;;;;0.8;;;;;;;;;;;;2431.73;998.73;;;;;1433;;;;;;;;;;;;0.114373303;;;;;;;;;;;7;"secret";"secret";338;;;
"4409C";"Saint Julien de Concelles - Chaufferie Bois";"2018";"C";"44169";"Saint-Julien-de-Concelles";;;;;;;;;;;;;;;;;;;1444.61;;;;;;;;;1444.61;;;;;;;;;;;;;;;;;;;;9;"secret";"secret";;;;1009
"4410C";"Réseau de Nantes Nord Chézine";"2018";"C";"44109";"Nantes";22.42;22.42;;;;;;;;;;;;;;;;;33751;33751;;;;;;;;;;;;;;;;;0.22528161;12.053;12.53;;;;;;;;;8;"secret";"secret";;;;975
"4501C";"Socos source";"2018";"C";"45234";"Orléans";178.85;87.2;;69.8;;0.85;17;;;;;;;;;4;;;134796.2209;38279.8027;;1.78;;917.0982;76917.54;;;;;;;;;18680;;;0.085404913;8.961;31.554;;;;;;;;;142;"secret";"secret";65032;13006;;
"4503C";"Quartier Centre Ville et Nord";"2018";"C";"45234";"Orléans";79.5;54.5;;;;;25;;;;;;;;;;;;88279;13980;;;;;74299;;;;;;;;;;;;;84.201;0.236;;;;;100;;;;121;25352;17746;7606;;;
"4504C";"Zup du Grand Clos";"2018";"C";"45208";"Montargis";33.5;14.5;;11;;;8;;;;;;;;;;;;24771;11655;;;;;13116;;;;;;;;;;;;0.088696456;29.337;62.351;;;;;;;;;35;"secret";"secret";4954;;;
"4505C";"Réseau de Fleury les Aubrais";"2018";"C";"45147";"Fleury-les-Aubrais";44.6;30.4;;11;;;3.2;;;;;;;;;;;;28123.05;10711;;40.05;;;17372;;;;;;;;;;;;0.067177685;27.184;71.375;;;;;;;;;27;"secret";"secret";1969;;;
"4506C";"U.V.E  Pithiviers";"2018";"C";"45253";"Pithiviers-le-Vieil";18.2;;;;;;;18.2;;;;;;;;;;;125312.32;;;;;;;125312.32;;;;;;;;;;;;;;;;;;;;;;1;"secret";"secret";;20167;;
"4507C";"Réseau de Amilly";"2018";"C";"45004";"Amilly";7.53;4.53;;;;;;;3;;;;;;;;;;13762.8;253.8;;;;;;;13509;;;;;;;;;;0.004691816;0.015;0.788;;;;;;;;;11;"secret";"secret";13416;;;
"4601C";"Réseau de Nuzéjouls";"2018";"C";"46211";"Nuzéjouls";0.85;;;0.5;;;0.35;;;;;;;;;;;;597.21;;;36.49;;;560.72;;;;;;;;;;;;0.08080292;;;;;;;;;;;52;"secret";"secret";11;;;
"4602C";"CAZALS Terrain des Prades";"2018";"C";"46066";"Cazals";0.6;;;;;;0.6;;;;;;;;;;;;0.5452;;;0.356;;;0.1892;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;
"4603C";"Réseau de Gramat";"2018";"C";"46128";"Gramat";0.1;;;;;;0.1;;;;;;;;;;;;766.0794;;;;;;766.0794;;;;;;;;;;;;;;;;;;;;;;;6;826;;826;;;
"4604C";"Réseau de Biars sur Cere";"2018";"C";"46029";"Biars-sur-Cère";3.15;;;1.9;;;1.25;;;;;;;;;;;;1708.86;;;26.7;;;1682.16;;;;;;;;;;;;0.006117825;;;;;;;;;;;165;1324;1271;53;;;
"4605C";"Réseau de Cajarc";"2018";"C";"46045";"Cajarc";3.46;;;1.96;;;1.5;;;;;;;;;;;;2432.81;;;47.17;;;2385.64;;;;;;;;;;;;0.006724624;;;;;;;;;;;116;2128;1830;298;;;
"4607C";"Réseau de CATUS";"2018";"C";"46064";"Catus";2.11;;;1.15;;;0.96;;;;;;;;;;;;2093.68;;;140.62;;;1953.06;;;;;;;;;;;;0.027791531;;;;;;;;;;;152;1535;1351;184;;;
"4608C";"Réseau de Caillac";"2018";"C";"46044";"Caillac";1.44;;;0.72;;;0.72;;;;;;;;;;;;1230.71;;;129.05;;;1101.66;;;;;;;;;;;;0.056169297;;;;;;;;;;;47;697;655;42;;;
"4609C";"Réseau de St Germain du Bel air";"2018";"C";"46267";"Saint-Germain-du-Bel-Air";2.1;;;1.38;;;0.72;;;;;;;;;;;;1599.75;;;4.45;;;1595.3;;;;;;;;;;;;0.001056338;;;;;;;;;;;87;1278;1163;115;;;
"4610C";"Réseau des 4 routes du Lot";"2018";"C";"46232";"Les Quatre-Routes-du-Lot";1.7;;;0.98;;;0.72;;;;;;;;;;;;1318.95;;;16.91;;;1302.04;;;;;;;;;;;;0.007184874;;;;;;;;;;;85;714;693;21;;;
"4611C";"Réseau de Sousceyrac";"2018";"C";"46311";"Sousceyrac-en-Quercy";2.8;;;1.6;;;1.2;;;;;;;;;;;;3203.2;;;297.26;;;2905.94;;;;;;;;;;;;0.04312769;;;;;;;;;;;88;2091;1882;209;;;
"4612C";"Réseau de Figeac";"2018";"C";"46102";"Figeac";2.36;;;1.4;;;0.96;;;;;;;;;;;;1640.94;;;1.78;;;1639.16;;;;;;;;;;;;0.000429936;;;;;;;;;;;38;1256;1156;100;;;
"4613C";"Réseau de Livernon";"2018";"C";"46176";"Livernon";0.94;;;0.6;;;0.34;;;;;;;;;;;;761.74;;;44.5;;;717.24;;;;;;;;;;;;0.025280899;;;;;;;;;;;49;534;368;166;;;
"4614C";"Réseau de CAHORS";"2018";"C";"46042";"Cahors";5;3.3;;;;;1.7;;;;;;;;;;;;4265.32;589.68;;;;;3675.64;;;;;;;;;;;;0.035402214;;;;;;;;;;;160;3794;3453;341;;;
"4615C";"Réseau de THEGRA";"2018";"C";"46317";"Thégra";1.04;;;0.69;;;0.35;;;;;;;;;;;;847.59;;;40.05;;;807.54;;;;;;;;;;;;0.021852518;;;;;;;;;;;52;556;512;44;;;
"4616C";"Réseau de Lacapelle Marival";"2018";"C";"46143";"Lacapelle-Marival";4.5;;;3;;;1.5;;;;;;;;;;;;3787.1;;;117.48;;;3669.62;;;;;;;;;;;;0.012638298;;;;;;;;;;;124;2820;2397;423;;;
"4617C";"Réseau de GOURDON";"2018";"C";"46127";"Gourdon";7.5;;;4.5;;;3;;;;;;;;;;;;4957.84;;;74.76;;;4883.08;;;;;;;;;;;;0.004869043;;;;;;;;;;;84;4658;4099;559;;;
"4701C";"Novergie Sud Ouest-SOGAD";"2018";"C";"47201";"Le Passage";43.309;;;;;;;43.309;;;;;;;;;;;21744;;;;;;;21744;;;;;;;;;;;;;;;;;;;;;;1;"secret";"secret";;21744;;
"4802C";"Mende";"2018";"C";"48095";"Mende";37;;;5;;;;;;;;;;;;32;;;26824.8;;;24.8;;;;;;;;;;;;26800;;;0.000355082;;;;;;;;;;;79;23572;12493;8722;;;2357
"4803C";"SCABE Saint Chely d'Apcher Bois Energie";"2018";"C";"48140";"Saint-Chély-d'Apcher";12.4;;;8;;;2.9;;;;;;;;1.5;;;;13115.94;;;234;;;12279.94;;;;;;;;602;;;;0.006778998;;;;;;;;;;;56;10475;;;;;10475
"4901C";"Réseau d'Angers La Roseraie";"2018";"C";"49007";"Angers";65;45;;;;;;;;;;;;;20;;;;69044;10734;;;;;;;;;;;;;58310;;;;0.039017657;;;;;;;;;;;64;59297;44473;14824;;;
"4902C";"RESEAU DES DEUX CROIX (NOZAY-UPJM)";"2018";"C";"49007";"Angers";28.2;14.1;;;;;;;;14.1;;;;;;;;;27101.5;13467;;;;;13053;;;581.5;;;;;;;;;0.10783371;;;;;;;;;;;16;"secret";"secret";6895;;;
"4903C";"CHU Angers";"2018";"C";"49007";"Angers";29;11.6;;;;;17.4;;;;;;;;;;;;35581;2972;;;;;32609;;;;;;;;;;;;0.02314741;;;;;;;;;;;51;35581;;35581;;;
"4904C";"Réseau de chaleur d'Andrezé";"2018";"C";"49023";"Beaupréau-en-Mauges";0.24;0.12;;;;;0.12;;;;;;;;;;;;566.084;155.52;;;;;410.564;;;;;;;;;;;;0.104495575;;;;;;;;;;;10;"secret";"secret";320;;;
"4905C";"Chemin Vert";"2018";"C";"49328";"Saumur";18.6;15.3;;;;;3.3;;;;;;;;;;;;14652;4232;;;;;10420;;;;;;;;;;;;0.052243394;;;;;;;;;;;264;14652;10549;4103;;;
"4907C";"Réseau d'Orgemont";"2018";"C";"49007";"Angers";42;20;;;;;22;;;;;;;;;;;;98204.7955;20155.7955;;;;;78049;;;;;;;;;;;;;85.537;29.53;;;;;100;;;;67;41618;12902;28716;;;
"4908C";"Réseau de chaleur d'Ecouflant";"2018";"C";"49129";"Écouflant";1.7;1;;;;;0.7;;;;;;;;;;;;1148;322;;;;;826;;;;;;;;;;;;0.072663366;;;;;;;;;;;9;"secret";"secret";664;;;
"4910C";"Hauts de Saint Aubin";"2018";"C";"49007";"Angers";11.9;7.9;;;;;4;;;;;;;;;;;;17087;4155;;;;;12932;;;;;;;;;;;;0.066681604;;;;;;;;;;;15;"secret";"secret";8978;;;
"4911C";"Réseau de Belle Beille";"2018";"C";"49007";"Angers";19.8;11.8;;;;;8;;;;;;;;;;;;22694;11645;;;;;11049;;;;;;;;;;;;0.13005284;;;;;;;;;;;55;19332;3596;13107;2629;;
"5001C";"Zup d'Octeville";"2018";"C";"50129";"Cherbourg-en-Cotentin";17.6;10;;;;;7.6;;;;;;;;;;;;30436.47;2662.47;;;;;27774;;;;;;;;;;;;0.023809489;;;;;;;;;;;62;25471;20886;4585;;;
"5002C";"Ilot Divette";"2018";"C";"50129";"Cherbourg-en-Cotentin";4.2;1.2;;;;;;;;0.8;;2.2;;;;;;;9208.83;294.03;;;;;;;;4681.8;;4233;;;;;;;0.049293563;;;;;;;;;;;29;8545;8545;;;;
"5003C";"Régie de chauffage du Teilleul";"2018";"C";"50591";"Le Teilleul";1.74;;;1.2;;;0.54;;;;;;;;;;;;1450.13;;;285.69;;;1164.44;;;;;;;;;;;;0.072648785;;;;;;;;;;;12;"secret";"secret";227;;;
"5004C";"Centre Hospitalier de L'estran";"2018";"C";"50410";"Pontorson";2.55;;;;;;2.55;;;;;;;;;;;;3225;;;;;;3225;;;;;;;;;;;;;;;;;;;;;;;1;"secret";"secret";3799;;;
"5005C";"Réseau communal La Lucerne d'Outremer";"2018";"C";"50281";"La Lucerne-d'Outremer";0.1;;;;;;0.1;;;;;;;;;;;;77.4;;;;;;77.4;;;;;;;;;;;;;;;;;;;;;;;5;"secret";"secret";;;;
"5101C";"Zup de Laon Neufchatel";"2018";"C";"51454";"Reims";16.2;16.2;;;;;;;;;;;;;;;;;19643.16;19643.16;;;;;;;;;;;;;;;;;0.228307208;58.203;58.23;;;;;;;;;34;17301;15052;2249;;;
"5102C";"Réseau UIOM Reims";"2018";"C";"51454";"Reims";23;;;;;;;23;;;;;;;;;;;169322.8152;;;;;;;169322.8152;;;;;;;;;;;;;;;;;;;;;;1;"secret";"secret";;;;78236
"5103C";"VITRY HABITAT";"2018";"C";"51649";"Vitry-le-François";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;"secret";"secret";;;;
"5104C";"Quartier Bernon";"2018";"C";"51230";"Épernay";13;13;;;;;;;;;;;;;;;;;19464.42;19464.42;;;;;;;;;;;;;;;;;0.213579907;56.796;56.796;;;;;;;;;23;15662;7831;7831;;;
"5106C";"Croix Rouge";"2018";"C";"51454";"Reims";140.2;61;40.7;14.5;;;10;;14;;;;;;;;;;177568.36;58568;11811.36;13000;;;28256;;65933;;;;;;;;;;0.126277374;;;;;;;;;;;59;156460;43809;112651;;;
"5107C";"La renaissance Immobilière Chalonnaise";"2018";"C";"51108";"Châlons-en-Champagne";12.7;11.2;;;;;1.5;;;;;;;;;;;;9531;2216;;;;;7315;;;;;;;;;;;;0.057398378;0.021;0.9;;;;;;;;;13;9245;8783;462;;;
"5202C";"DSP ST DIZIER";"2018";"C";"52448";"Saint-Dizier";58;43;;;;;11;;;;;;;;;4;;;59312;11867;;;;;43428;;;;;;;;;4017;;;0.069272463;;;;;;;;;;;87;50125;31579;16040;2506;;
"5204C";"Réseau de chaleur du sud de la ville de Chaumont";"2018";"C";"52121";"Chaumont";43.59;29.3;;;;;2.8;;10;;;;;;;1.49;;;56412;5618;;;;;4747;;40523;;;;;;;5524;;;0.046655487;;;;;;;;;;;104;51657;25312;26345;;;
"5205C";"Réseau de chaleur bois de Marac";"2018";"C";"52307";"Marac";;;;;;;;;;;;;;;;;;;67.55;;;;;;67.55;;;;;;;;;;;;;;;;;;;;;;;7;68;;;;;68
"5206C";"Réseau de chaleur de l'EHPAD St Augustin";"2018";"C";"52292";"Longeau-Percey";1;;;;;;1;;;;;;;;;;;;686.28;;;;;;686.28;;;;;;;;;;;;;;;;;;;;;;;2;"secret";"secret";71;;;
"5207C";"Réseau de Wassy";"2018";"C";"52550";"Wassy";1.5;;;;;;1.5;;;;;;;;;;;;1914.532;;;;;;1914.532;;;;;;;;;;;;;;;;;;;;;;;4;2226;;2226;;;
"5208C";"Réseau de Bourmont";"2018";"C";"52063";"Bourg-Sainte-Marie";1.5;;;;;;1.5;;;;;;;;;;;;1177.426;;;;;;1177.426;;;;;;;;;;;;;;;;;;;;;;;5;1369;;1369;;;
"5209C";"Réseau de Langres";"2018";"C";"52269";"Langres";13;10;;;;;3;;;;;;;;;;;;14979;3370;;;;;11609;;;;;;;;;;;;0.053765574;0.013;0.59;;;;;;;;;25;14190;8940;5250;;;
"5302C";"Zup Saint Nicolas";"2018";"C";"53130";"Laval";50.45;14.35;;7;;;;;;;;;;21;;8.1;;;67793;13076;;1196;;;;;;;;;;53447;;74;;;0.059467702;;;;;;;;;;;67;58287;30892;8743;;;18652
"5303C";"Réseau de chaleur (piscine et salles omnisports)";"2018";"C";"53062";"Château-Gontier";1.27;0.71;;;;;0.56;;;;;;;;;;;;2363;729;;;;;1634;;;;;;;;;;;;0.059303571;;;;;;;;;;;3;2800;;2800;;;
"5401C";"ESTIA - Saint Julien Kennedy";"2018";"C";"54395";"Nancy";55.3;38;;9;;;8.3;;;;;;;;;;;;81043.92;36670.81;;347.99;;;44025.12;;;;;;;;;;;;0.121712956;36.652;81.2;;;;;;;;;56;69181;11761;57420;;;
"5403C";"S.E.E.V - Ville de Vandoeuvre";"2018";"C";"54547";"Vandoeuvre-lès-Nancy";91.9;40;;20;;;8;;20;;;;;;;3.9;;;164129.41;18777.42;;864.19;;;21783.8;;117147;;;;;;;5557;;;0.036456071;;;;;;;;;;;146;155761;105917;49844;;;
"5407C";"ESTIA - Plateau de Haye";"2018";"C";"54395";"Nancy";20.05;14.63;;0.42;;;5;;;;;;;;;;;;32082.069;14607.829;;430.76;;;17043.48;;;;;;;;;;;;0.136743807;8.643;18.983;;;;;;;;;36;24382;16775;7607;;;
"5408C";"Réseau d'Ecrouves";"2018";"C";"54174";"Écrouves";9.5;7;;;;;2.5;;;;;;;;;;;;15307;4844;;;;;10463;;;;;;;;;;;;0.089056927;;;;;;;;;;;22;12683;2029;10654;;;
"5409C";"Réseau chaufferie bois - Barbonville";"2018";"C";"54045";"Barbonville";5;;;;;;5;;;;;;;;;;;;154.8;;;;;;154.8;;;;;;;;;;;;;;;;;;;;;;;1;"secret";"secret";;;;130
"5410C";"S.E.E.V - Plateau de Brabois";"2018";"C";"54547";"Vandoeuvre-lès-Nancy";46.8;27.5;;0.1;;;14.8;;;;;;;;;4.4;;;59337.33;4958.01;;;;;36775.32;;;;;;;;;17604;;;0.085250625;;;;;;;;;;;30;55579;;55579;;;
"5411C";"ESTIA - Blandan Medreville";"2018";"C";"54395";"Nancy";8;4.5;;3.5;;;;;;;;;;;;;;;17329.7;6593.92;;1.78;;;;;;;;;;;;10734;;;0.109905412;22.476;59.7;;;;;;;;;19;15367;7991;7376;;;
"5412C";"Réseau de Pont à Mousson";"2018";"C";"54431";"Pont-à-Mousson";10;5;;;;;;;1;4;;;;;;;;;13296;2651;;;;;;;5787;4858;;;;;;;;;0.054155836;;;;;;;;;;;15;11464;6878;4586;;;
"5413C";"ESTIA - LAXOU-VILLERS";"2018";"C";"54304";"Laxou";12.2;12.1;;0.1;;;;;;;;;;;;;;;7345.92;7344.14;;1.78;;;;;;;;;;;;;;;0.197729153;29.472;29.479;;;;;;;;;17;7399;7399;;;;
"5501C";"Côte Sainte Catherine";"2018";"C";"55029";"Bar-le-Duc";4.24;4.24;;;;;;;;;;;;;;;;;31025;31025;;;;;;;;;;;;;;;;;0.211443334;39.687;39.687;;;;;;;;;40;23515;14109;9406;;;
"5502C";"Zup Anthouard";"2018";"C";"55545";"Verdun";11.3;11.3;;;;;;;;;;;;;;;;;17053.84;17053.84;;;;;;;;;;;;;;;;;0.205783788;60.749;6.749;;;;;;;;;23;15612;3279;12333;;;
"5503C";"Ligny en Barrois";"2018";"C";"55291";"Ligny-en-Barrois";4.5;3;;;;;1.5;;;;;;;;;;;;5792.97;2033.91;;;;;3759.06;;;;;;;;;;;;0.10313435;;;;;;;;;;;9;"secret";"secret";2426;;;1123
"5504C";"Réseau de Baâlon";"2018";"C";"55025";"Baâlon";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;"secret";"secret";196;;;
"5505C";"Réseau Meuse-Energie";"2018";"C";"55519";"Tronville-en-Barrois";3.5;;;;;;;;;;;;;;3.5;;;;5706;;;;;;;;;;;;;;5706;;;;;;;;;;;;;;;3;5162;;;5162;;
"5601C";"Réseau de Lanester";"2018";"C";"56098";"Lanester";4.2;2.8;;;;;1.4;;;;;;;;;;;;5694;1549;;;;;4145;;;;;;;;;;;;0.057712468;;;;;;;;;;;16;"secret";"secret";2562;;;
"5602C";"Réseau de chaleur zac centre";"2018";"C";"56083";"Hennebont";1.9;;;;;;1.9;;;;;;;;;;;;1216.04;;;;;;1216.04;;;;;;;;;;;;;;;;;;;;;;;6;"secret";"secret";;;;1208
"5604C";"Réseau de chaleur Liger";"2018";"C";"56117";"Locminé";2.8;;;;;;1.5;;;1.3;;;;;;;;;8878;;;;;;1788;;;7090;;;;;;;;;;79.86;;;;;;;;100;;11;"secret";"secret";2251;5332;;
"5605C";"Réseau de la commune de Guer";"2018";"C";"56075";"Guer";0.75;;;;;;0.75;;;;;;;;;;;;1177.34;;;;;;1177.34;;;;;;;;;;;;;;;;;;;;;;;6;1154;;1154;;;
"5607C";"Réseau de Serent";"2018";"C";"56244";"Sérent";;;;;;;;;;;;;;;;;;;636.9738;;;;;;473.2838;;;;;;;;;;;163.69;;;;;;;;;;;;6;714;;;;;714
"5701C";"Réseau de Metz";"2018";"C";"57463";"Metz";470;224;164;;;;52;;30;;;;;;;;;;526072;156101;20684;;;;189504;;159783;;;;;;;;;;0.049023199;54.593;62.583;;;;;100;;;;626;431183;155226;120731;155226;;
"5702C";"Réseau de la Ville de Yutz";"2018";"C";"57757";"Yutz";7.2;4.7;;;;;2.5;;;;;;;;;;;;8881;2375;;;;;6506;;;;;;;;;;;;0.08220026;;;;;;;;;;;16;"secret";"secret";2507;;;
"5703C";"Réseau de Chaleur de Farébersviller";"2018";"C";"57207";"Farébersviller";21.7;17.3;;;;;4.4;;;;;;;;;;;;21821;10425;;;;;11396;;;;;;;;;;;;0.110506737;29.971;62.734;;;;;;;;;17;"secret";"secret";20730;;;
"5705C";"Wenheck";"2018";"C";"57606";"Saint-Avold";7.5;7.5;;;;;;;;;;;;;;;;;4278.5;4278.5;;;;;;;;;;;;;;;;;0.214272208;58.235;58.235;;;;;;;;;14;4279;4279;;;;
"5706C";"Réseau de Freyming Merlebach";"2018";"C";"57240";"Freyming-Merlebach";32.1;27.6;;;;;4.5;;;;;;;;;;;;25610;11096;;;;;14514;;;;;;;;;;;;0.112146903;29.828;68.845;;;;;;;;;130;17971;9704;8267;;;
"5707C";"Réseau de Sarreguemines";"2018";"C";"57631";"Sarreguemines";9.5;9.5;;;;;;;;;;;;;;;;;9141;9141;;;;;;;;;;;;;;;;;0.204008533;60.584;6.584;;;;;;;;;17;9141;6216;2925;;;
"5708C";"Réseau de Holweg-Forbach-Behren";"2018";"C";"57058";"Behren-lès-Forbach";85;57;;;;;28;;;;;;;;;;;;82954;8742;;;;;74212;;;;;;;;;;;;;89.462;;;;;;100;;;;128;70085;45555;24530;;;
"5709C";"Carrière";"2018";"C";"57606";"Saint-Avold";2.1;2.1;;;;;;;;;;;;;;;;;1174.7511;1174.7511;;;;;;;;;;;;;;;;;0.240048618;;;;;;;;;;;6;"secret";"secret";;;;
"5710C";"Côte de la Justice";"2018";"C";"57606";"Saint-Avold";0.9;0.9;;;;;;;;;;;;;;;;;859.41;859.41;;;;;;;;;;;;;;;;;0.203410886;;;;;;;;;;;3;"secret";"secret";;;;
"5711C";"Huchet";"2018";"C";"57606";"Saint-Avold";1.1;1.1;;;;;;;;;;;;;;;;;803.682;803.682;;;;;;;;;;;;;;;;;0.197568343;;;;;;;;;;;1;"secret";"secret";;;;
"5712C";"Stiring Wendel";"2018";"C";"57660";"Stiring-Wendel";28;;;;;;;;;;;;;;;28;;;6336;;;;;;;;;;;;;;;6336;;;;;;;;;;;;;;15;"secret";"secret";3246;;;
"5713C";"Réseau de chauffage urbain de Creutzwald";"2018";"C";"57160";"Creutzwald";25.6;25.6;;;;;;;;;;;;;;;;;17304;17304;;;;;;;;;;;;;;;;;0.186122905;96.325;96.325;;;;;;;;;63;"secret";"secret";7215;9620;;
